,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,,Character,Origin,Residence,Age,Height,Blood Type,English Name,Meaning,Type,Age at Death,LiveAction Portrayal,Alias,First Appearance,Admiral,Main Ship,Total Bounty,Affiliation,Patriarch,Captain,Occupation,Leaders,Residency,12th Leader,13th Tobe Leader,Kingdom,Boss,Matriarch,GovernorGeneral, Number,Size,First appearance,Region,Netflix English VA,Birth Name,Japanese VA,Funi English VA,Features,Weight,Fruit Debut,Usage Debut,Previous User, key,Vessel,Homeland,Completion Date,Length,Affiliates
88,ヤマ,Yama,Yama,Chapter 254; Episode 167,Enel (former),Commander of the Divine Soldiers (former),Unknown,October 3rd,Andrew Chandler,Yama,Sky Islands (Birka),,43 (debut)45 (after timeskip),366 cm (12'),F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,ウープ・スラップ,Ūpu Surappu,Woop Slap,Chapter 1; Episode 4,Foosha Village,Mayor,Alive,February 28th,Barry Yandell,Woop Slap,East Blue (Goa Kingdom),Foosha Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,ヤマカジ,Yamakaji,Yamakaji,Chapter 420; Episode 302,Marines,Vice Admiral,Alive,April 5th,Babs Ipaye,Yamakaji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ワイヤー,Waiyā,Wire,Chapter 500; Episode 394,Kid Pirates,Pirate,Unknown,July 18th,Daniel Penz,Wire,South Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Ryu Ryu no Mi, Model: Allosaurus",Diesu Dorēku,X. Drake,Chapter 498; Episode 392,"Marines;Drake Pirates;Beasts Pirates (Tobiroppo, former);Barrels Pirates (defected);Ninja-Pirate-Mink-Samurai Alliance (disbanded)","Captain of SWORD; Pirate (undercover); Captain (undercover); Shinuchi (undercover, former); Marine Rear Admiral (former)",Unknown,October 24th,D. C. Douglas,X Drake,North Blue,,31 (debut)33 (after timeskip),"233 cm (7'8"") (debut, after timeskip)",X,"Dragon-Dragon Fruit, Model: Allosaurus","Dragon, Allosaurus",Ancient Zoan,,,"Dory (ドリィ, Dorii?, English version: Drie)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,ワイパー,Waipā,"Wyper (4Kids, Viz, FUNimation);Wyler (4Kids; FUNimation edited dub)",Chapter 237; Episode 153,Shandia; God's Guards,Shandia Warrior; God's Guard,Alive,August 18th,J. Paul Slavens;Leah Clark (young),Wyper,Sky Islands (Skypiea),,22 (debut)24 (after timeskip),183 cm (6'0),X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,ウィッカ,Wikka,WickaWicca (WT100),Chapter 705; Episode 635,Tontatta Tribe Scouting UnitStraw Hat Grand Fleet,Scout; Pirate,Alive,,Sarah Roach,Wicca,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,ウェリントン,Werinton,Wellington,Chapter 763; Episode 702,,Pirate,Unknown,,"10,000,000",Wellington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ワラシ,Warashi,Warashi,Chapter 269; Episode 176,Shandia,Shandia Warrior,Alive,,Takayuki Sasada,Warashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Neko Neko no Mi, Model: Saber Tiger",Fūzu Fū,Who's-Who,Chapter 977; Episode 954 (silhouette); Episode 982 (actual),Beasts Pirates (Tobiroppo); Who's-Who Pirates (former); CP9 (former);,Shinuchi; Pirate; Captain  (former); Prisoner (former); Cipher Pol Agent (former),Alive,March 15th,Reagan Murdock,Who's-Who,North Blue,Onigashima,38,"336 cm (11'0¼"")",F,"Cat-Cat Fruit, Saber-Toothed Tiger Model",Cat,Ancient Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,割（ワル）野フリ四郎,Waruno Furishirō,N/A,Chapter 926; Episode 918,,,Alive,,Marcus Stimac,Waruno Furishiro,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,ホワイティベイ,Howaitibei,Whitey Bay,Chapter 556; Episode 462,Whitebeard Pirates,Pirate; Captain,Alive,October 31st,Jennifer Green,Whitey Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,ワンゼ,Wanze,Wanze,Chapter 367; Episode 257,CP7,Cipher Pol Agent; Chef,Alive,September 4th,Jessie James Grelle,Wanze,West Blue,,26 (debut)28 (after timeskip),"173 cm (5'8"")",F,,,,,,"""Mad Wanze"" (マッドなワンゼ Maddona Wanze)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Baku Baku no Mi,Waporu,Wapol,Chapter 131; Episode 79,Evil Black Drum Kingdom; Drum Kingdom (former); Bliking Pirates (disbanded),King of Evil Black Drum Kingdom; President of Wapol Konzern; King of Drum Kingdom (former); Pirate; Captain (former),Alive,August 9th,Andy Mullins,Wapol,Grand Line (Drum Kingdom),Black Drum KingdomDrum Kingdom (former),27 (debut)29 (after timeskip),"207 cm (6'9"")",X,Munch-Munch Fruit,Sound of Chomping,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,ホイール,Hoīru,Wheel,Chapter 906; Episode 884,Levely,Prince,Alive,,Cole Feuchter,Wheel,,South Fire Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,輪入道,Wanyūdō,Wanyudo,Chapter 1005; Episode 1021,Beasts Pirates,Gifter,Alive,,Mark Fickert,Wanyudo,,,,,,Pug SMILE,,Artificial Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,ワンダ,Wanda,Wanda,Chapter 804; Episode 753,Mokomo Dukedom; Inuarashi Musketeer Squad; Ninja-Pirate-Mink-Samurai Alliance(disbanded),Musketeer; Kingsbird (former),Alive,November 1st,Jenny Yokobori,Wanda,Grand Line (Mokomo Dukedom),Zou,28,"181 cm (5'11"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,ワーニー,Wānī,Warney,Chapter 804; Episode 753,Wanda,,Alive,,Belsheber Rusape Jr.,Wany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,ウォレム,Woremu,Wallem,Chapter 561; Episode 470,Ally of the Whitebeard Pirates,Pirate; Captain,Alive,,Phil Alford,Wallem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,ウォレス,Woresu,Wallace,Chapter 552; Episode 461,Spade Pirates,Pirate,Alive,,,Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,わかさ,Wakasa,N/A,Chapter 915; Episode 901,,Restaurant Owner,Alive,,,Wakasa,,Wano Country (Bakura Town),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,ワダツミ,Wadatsumi,Wadatsumi,Chapter 606; Episode 525,Sun Pirates; Flying Pirates (former),Pirate,Alive,February 9th (Pufferfish Day),Trina Nishimura,Wadatsumi,Grand Line (Ryugu Kingdom),,25,"80 m (262'5"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,科学者,Kagakusha,Scientist,,,,,,,Scientist,,,,,,,,,,,,Chapter 329; Episode 233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,ヴィト,Vito,Vito,Chapter 812; Episode 763,Fire Tank Pirates,"Pirate, Advisor; Mafia gangster (former)",Alive,October 21st,Chris Hackney,Vito,West Blue,,36,"242 cm (7'11"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,ヴィタン,Vitan,Vitan,Chapter 553,Whitebeard Pirates,Pirate; Captain,Alive,,,Vitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Giro Giro no Mi,Viora,Viola,Chapter 703; Episode 632,Riku Family; Donquixote Pirates(defected),Princess of Dressrosa; Pirate Officer (former); Assassin (former); Dancer;,Alive,April 30th,Cristina Vee,Viola,Grand Line (Dressrosa),,29,"178 cm (5'10"")",X,Glare-Glare Fruit,Glare; Stare,Paramecia,,,"Violet (ヴァイオレット, Vaioretto?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ビスタ,Bisuta,Vista,Chapter 552; Episode 0,Whitebeard Pirates (former),5th Division Commander (former); Pirate,Alive,February 5th,Hunter Barnett,Vista,North Blue,,45 (debut)47 (after timeskip),"328 cm (10'9"")",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,ヴィンスモーク・ヨンジ,Vinsumōku Yonji,Vinsmoke Yonji,Chapter 825; Episode 783,Vinsmoke Family; Germa Kingdom; Germa 66,Prince; Mercenary,Alive,March 2nd,Clifford Chapin;Meli Grant (young),Vinsmoke Yonji,North Blue (Germa Kingdom),,21,"194 cm (6'4"")",S (RH-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,ヴィンスモーク・レイジュ,Vinsumōku Reiju,Vinsmoke Reiju,Chapter 826; Episode 784,Vinsmoke Family; Germa Kingdom; Germa 66,Princess; Mercenary,Alive,November 30th,Alexis Tipton,Vinsmoke Reiju,North Blue (Germa Kingdom),,24,"173 cm (5'8"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,ヴィンスモーク・ソラ,Vinsumōku Sora,Vinsmoke Sora,"Chapter 841; Episode 803 (image), Episode 804",Vinsmoke Family; Germa Kingdom,Queen,Deceased,July 9th,Kristen McGuire,Vinsmoke Sora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,ヴィンスモーク・ニジ,Vinsumōku Niji,Vinsmoke Niji,Chapter 828; Episode 787,Vinsmoke Family; Germa Kingdom; Germa 66,Prince; Mercenary,Alive,March 2nd,Austin Tindle;Trina Nishimura (young),Vinsmoke Niji,North Blue (Germa Kingdom),,21,"185 cm (6'1"")",S (RH-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,ヴィクトリア・シルトン・ドルヤナイカ,Vikutoria Shiruton Doruyanaika,Victoria Broth Splatterina,SBS Volume 87 (Mentioned),,,Deceased,,,Victoria Shiruton Doruyanaika,,Unnamed South Blue island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,ヴィンスモーク・イチジ,Vinsumōku Ichiji,Vinsmoke Ichiji,Chapter 828; Episode 787,Vinsmoke Family; Germa Kingdom; Germa 66,Prince; Mercenary,Alive,March 2nd,Howard Wang;Apphia Yu (Young),Vinsmoke Ichiji,North Blue (Germa Kingdom),,21,"186 cm (6'1"")",S (RH-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,ビクトリア･シンドリー,Bikutoria Shindorī,Victoria Cindry,Chapter 446; Episode 340,Thriller Bark Pirates; Dr. Hogback,Actress (in life); Soldier Zombie,Deceased,May 4th,Jamie Marchi,Victoria Cindry,West Blue,,,"188 cm (6'2"")",F,,,,24,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
122,ヴィンスモーク・ジャッジ,Vinsumōku Jajji,Vinsmoke Judge,Chapter 832; Episode 793,Vinsmoke Family; Germa Kingdom; Germa 66; NEO MADS; MADS (former),King of the Germa Kingdom; Supreme Commander of Germa 66; Scientist; Mercenary,Alive,May 12th,Christopher Bevins,Vinsmoke Judge,North Blue (Germa Kingdom),,56,"272 cm (8'11"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Beri Beri no Mi,Berīguddo,Berry Good,Chapter 426; Episode 309,Marines,Marine Captain,Alive,September 10th,Jason C. Miller,Very Good,,,,,,Berry-Berry Fruit,Berry,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Gabu Gabu no Mi,Basuko Shotto,Vasco Shot,Chapter 575; Episode 484,Blackbeard Pirates; Impel Down (former),Pirate; Titanic Captain (Captain of the Eighth Ship); Prisoner of the Great Prison (former),Alive,August 5th,Clint Ford,Vasco Shot,South Blue,,36 (debut)38 (after timeskip),"573 cm (18'10"")",X,Glug-Glug Fruit,Gulping down a drink,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Nomi Nomi no Mi,Dokutā Begapanku,Dr. Vegapunk,Chapter 684; Episode 610 (shadowed)Chapter 1061; Episode 1090 (satellite)Chapter 1066; Episode 1096,MADS (former); Marines (former) (SSG),Scientist,Deceased,August 9th,Yōhei Tadano;Yoshito Yasuhara (Episode 610),Vegapunk,Grand Line (Karakuri Island),Egghead; Punk Hazard (former); Karakuri Island (former),65,,,Brain-Brain Fruit,Brain,Paramecia,,,"""Stella"" (本体（ステラ）, Sutera?, kanji literally meaning ""Main Body"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,バンダー・デッケン,Bandā Dekken,Vander Decken,Chapter 606; Episode 525 (mentioned),Flying Dutchman,Captain,Deceased,,,Vander Decken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Mato Mato no Mi,Bandā Dekken Kyūsei,Vander Decken IX,Chapter 606; Episode 525,Flying Pirates; Ally of the New Fish-Man Pirates (former),Pirate; Captain,Alive,August 22nd,Jim Foronda,Vander Decken IX,Grand Line (Ryugu Kingdom;Fish-Man Island),Flying Dutchman (former),35,"352 cm (11'7"")",XF,Mark-Mark Fruit,Target,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,雨月天ぷら,Uzuki Tenpura,Uzuki Tempura,Chapter 1024; Episode 1048,,Samurai; Daimyo of Udon,Deceased,,Jim Johnson,Uzuki Tempura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,ウズ,Uzu,Uzu,Chapter 658; Episode 583,,,Alive,,Terri Doty,Uzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Wapu Wapu no Mi,Van Ōgā,"Van Augur (VIZ)Van Ogre (Formerly VIZ, Edited Funimation)Van Auger (Uncut Funimation)",Chapter 222; Episode 146,Blackbeard Pirates,Pirate; Sniper; Titanic Captain (Captain of the Third Ship),Alive,October 5th,Barry Yandell,Van Augur,East Blue,,25 (debut)27 (after timeskip),"340 cm (11'2"")",X,Warp-Warp Fruit,Warp,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,ヴェルゴ,Verugo,Vergo,Chapter 671; Episode 597,Donquixote Pirates; Marines (undercover); Marine G-5 (undercover),"Pirate Elite Officer; Vice Admiral (undercover); Head of G-5 (undercover); Marine Captain (undercover, former)",Deceased,July 5th,Wes Frazier,Vergo,North Blue,Downs (former)G-5 (former),,"247 cm (8'1"")",X,,,,41,,"Corazon (コラソン, Korason?) (former)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,ウワッツラー,Uwattsurā,N/A,Chapter 936; Episode 932,Beasts Pirates,Waiter; Prisoner Mine Chief Guard,Alive,,Brad Kurtz,Uwattsura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Uta Uta no Mi,Uta,Uta,Chapter 1055 (flashback); One Piece Film: Red; Episode 1029,Red Hair Pirates (former),Singer; Musician (former); Pirate (former),Unknown,October 1st,Amanda LeeAdo (singing voice),Uta,,Elegia (former),21,169 cm (5'6½”),XF,Sing-Sing Fruit,Song,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,ウサッコフ,Usakkofu,Bunkov,Chapter 537; Episode 438,Newkama Land (former),"Dancer, Prisoner of the Great Prison (former)",Alive,,Derick Snow,Usakkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,ウソップ,Usoppu,Usopp,Chapter 23; Episode 8,Straw Hat Pirates;Straw Hat Grand Fleet;Usopp Pirates (disbanded);Ninja-Pirate-Mink-Samurai Alliance (disbanded),Sniper; Senior Officer; Toad Oil Salesman (temporary),Alive,April 1st (April Fool's Day),Sonny Strait,Usopp,East Blue (Gecko Islands),"Syrup Village (former);Boin Archipelago (former, temporary)",17 (debut)19 (after timeskip),"174 cm (5'9"") (debut)176 cm (5'9"") (after timeskip)",S,,,,,Jacob Romero Gibson;Kevin Saula (young),"""Sogeking"" (そげキング, Sogekingu?) (former)""Usoland"" (ウソランド, Usorando?)""Uso-hachi"" (ウソ八, Usohachi?, English versions: Usohachi)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,うさぎヘビ,Usagihebi,N/A,Chapter 22; Episode 18,Animals of the Island of Rare Animals,,Alive,,,Usagihebi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,ウルージ,Urūji,Urouge,Chapter 498; Episode 392,Fallen Monk Pirates,Pirate Captain,Alive,August 1st,Major Attaway,Urouge,Sky Island,Ballon Terminal,45 (debut)47 (after timeskip),"388 cm (12'9"") (debut, after timeskip)",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,ウルバン,Uruban,Urban,Chapter 1089,Marines,Vice Admiral,Alive,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,ウシアーノ,Ushiāno,Ushiano,Chapter 905; Episode 883,Revolutionary Army,West Army Deputy Commander,Alive,,,Ushiano,,Baltigo (former); Momoiro Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,ユニガロ,Yunigaro,Unigaro,Chapter 445; Episode 340,Thriller Bark Pirates,Wild Zombie,Deceased,,Aaron Dismuke,Unigaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,
141,浦島,Urashima,Urashima,Chapter 913; Episode 899,,Sumo Wrestler,Alive,,Campbell Cooley,Urashima,,"Flower Capital, Wano Country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,ウニ,Uni,Uni,Chapter 810; Episode 757,Heart Pirates,Pirate,Unknown,,Matt Holmes,Uni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,ユルスマジマスク,Yurusumaji Masuku,Yurusumaji Mask,One Piece Color Walk 2,Easter egg,Pandaman's rival,Alive,,,Unforgivable Mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,ウミット,Umitto,Umit,Chapter 860; Episode 828,Underworld,"Shipping Magnate (海運王, Kaiun-ō?, Viz: ""Shipping King""); Emperor of the Underworld",Alive,September 23rd,Gregory Lush,Umit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,ウルトラキング,Urutorakingu,Ultra King,Chapter 169; Episode 106,Rain Dinners,Assistant-Manager,Alive,,,Ultraking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Ryu Ryu no Mi, Model: Pachycephalosaurus",Uruti,Ulti,Chapter 977; Episode 982,Beasts Pirates (Tobiroppo),Shinuchi,Alive,January 4th,Christina Kelly,Ulti,Grand Line,,22,"173 cm (5'8"")",XF,"Dragon-Dragon Fruit, Pachycephalosaurus Model","Dragon, Dinosaur",Ancient Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,右近,Ukon,N/A,Chapter 926; Episode 918,Kozuki Family; Ninja-Pirate-Mink-Samurai Alliance,Samurai,Alive,,Andrew Chandler,Ukon,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,ウッカリー,Ukkarī,Carelesso (WT100);Ukkari (Live-Action),Chapter 4; Episode 2,Marines (Marine 153rd Branch),Marine Seaman Recruit,Alive,February 17th,,Ukkari,East Blue,Shells Town,,,,,,,,Richard Wright-Firth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,ウホリシア,Uhorishia,Ooklicia,SBS Volume 77;Chapter 877 (cover);Episode 710 (fantasy),Niho Navy,,Alive,,Eric Rolon,Uholisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,ウッホーくん,Uhhō-kun,Ook-Ook,Chapter 743; Episode 677,,,Alive,,Keiji Hirai,Uhho,,Dressrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,ウーシー,Ūshī,"Moocy (VIZ Media, FUNimation dub);Usy (FUNimation simulcast);Bullcy (FUNimation subs)",Chapter 706; Episode 639,Corrida Colosseum,Gladiator,Alive,April 21st,Chris Thurman (Episode of Sabo only),Ucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,UK（ユーケー）,Yū Kē,UK,Chapter 1029; Episode 1054,Kid Pirates,Pirate,Unknown,,Kensuke Shimizu,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,ティラノサウルス,Tiranosaurusu,Tyrannosaurus,Chapter 323; Episode 230,Iceburg,Iceburg's pet,Alive,October 20th,Morgan Garrett,Tyrannosaurus,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,トルコ,Toruko,Turk,Chapter 598; Episode 517,Fake Straw Hat Crew,Pirate,Unknown,October 29th,Ian Sinclair,Turco,East Blue,,45,"258 cm (8'5"")",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,ウバウ,Ubau,N/A,Chapter 292; Episode 189,,God of Skypiea,Deceased,,Brian Mathis (Episode 189); Randy E. Aguebor (Episode of Skypiea),Ubau,Skypiea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,鶴女,Tsurujo,Otsuru,Chapter 912; Episode 897,,Tea House Owner; Waitress (Former),Alive,September 15th,Hope Endrenyi,Tsurujo,,"Okobore Town, Kuri, Wano Country",55,"191 cm (6'3"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Woshu Woshu no Mi,Tsuru,Tsuru,Chapter 234; Episode 151,Marines,Vice Admiral,Alive,March 26th,Juli Erickson (Episode 459-3D2Y);Pam Dougherty (Adventure of Nebulandia);Wendy Powell (Episode 705+),Tsuru,North Blue,,74 (debut)76 (after timeskip),204 cm (6’8”),X,Wash-Wash Fruit,Wash,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,ツノッコフ,Tsunokkofu,Antlerkov,Chapter 537; Episode 438,Newkama Land (former),"Dancer, Prisoner of the Great Prison (former)",Alive,,,Tsunokkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,鶴江もんの助,Tsurue Monnosuke,N/A,Chapter 933; Episode 928,,Machi-bugyō,Alive,,Mark Allen Jr.,Tsurue Monnosuke,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,綱ゴロー,Tsunagorō,Tsunagoro,Chapter 947; Episode 946,,Yakuza boss; Prisoner (former); Samurai,Alive,,Sean Letourneau,Tsunagoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,ツキミ,Tsukimi,Tsukimi,Chapter 448 (cover),Moon,Scientist,Deceased,August 15th,,Tsukimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,トリトブー,Toritobū,N/A,Chapter 906; Episode 884,Levely,Prince,Alive,,Jonathan Rigg,Tritobu,,Nagagutsu Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,トリスタン,Torisutan,Tristan,Chapter 795; Episode 739,Mokomo Dukedom; Ninja-Pirate-Mink-Samurai Alliance,Nurse,Alive,,Felecia Angelle,Tristan,,Zou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Beta Beta no Mi,Torēboru,Trebol,Chapter 700; Episode 629,Donquixote Pirates,Pirate Executive Officer; Staff Officer; Sugar's Bodyguard,Alive,March 18th,Alejandro Saab,Trebol,North Blue,Downs (former)Spider Miles (former)Dressrosa (former),49,"349 cm (11'5"")",F,Stick-Stick Fruit (Viz)Sticky-Sticky Fruit (FUNimation),Sticky,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,トラファルガー・ラミ,Torafarugā Rami,Trafalgar Lammy,Chapter 762; Episode 701,,,Deceased,,Bryn Apprill,Trafalgar Lami,,Flevance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,遠山辻ギロー,Tōyama Tsujigirō,N/A,Chapter 909; Episode 892,,Magistrate,Unknown,,Jordan Dash Cruz,Toyama Tsujigiro,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,津軽うみ,Tsugaru Umi,N/A,Chapter 909; Episode 892,Nico Robin,Geisha Master,Alive,,Linda Leonard,Tsugaru Umi,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Ope Ope no Mi,Torafarugā Dī Wāteru Rō,Trafalgar D. Water Law,Chapter 498; Episode 392,Heart Pirates;Ninja-Pirate-Mink-Samurai Alliance (disbanded);Seven Warlords of the Sea (revoked);Donquixote Pirates (defected),Pirate Captain; Doctor; Warlord of the Sea (former),Alive,October 6th,Matthew Mercer;Brittany Lauda (young),Trafalgar D. Water Law,North Blue,Flevance (former);Spider Miles (former);Swallow Island (former),24 (debut)26 (after timeskip),"191 cm (6'3"") (debut, after timeskip)",F,Op-Op Fruit,Operation,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,トト,Toto,"Toto (FUNimation),Toh-Toh (Viz),Tu-tu (4Kids)",Chapter 163; Episode 100,Koza,Yuba villager,Alive,June 17th,Jerry Russell; Gregory Lush (777),Toto,,"Yuba, Arabasta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,土茶（トサ）,Tosa,Tosa,Chapter 1089,Marines,Vice Admiral,Alive,,,Tosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,トリ,Tori,N/A,Chapter 925; Episode 917,Blackbeard Pirates,Pirate,Alive,,,Tori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,トップマン・ウォーキュリー聖,Toppuman Wōkyurī Sei,St. Topman Warcury,Chapter 233; Episode 151,Five Elders; World Nobles,"Co-Head of the World Government (Public);Warrior God of Justice (法務武神, Hōmu Bushin?, VIZ: ""Godhead of Justice"")",Alive,,Kurt Kleinmann,Topman Warcury,,Mary Geoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
